,year,week,indicator,inc,inc_low,inc_up,inc100,inc100_low,inc100_up,geo_insee,geo_name
0,2017,26,3,0,0,0,0,0,0,93,PROVENCE-ALPES-COTE-D-AZUR
1,2017,26,3,0,0,0,0,0,0,52,PAYS-DE-LA-LOIRE
2,2017,26,3,0,0,0,0,0,0,28,NORMANDIE
3,2017,26,3,188,0,557,3,0,9,32,HAUTS-DE-FRANCE
4,2017,26,3,152,0,667,3,0,12,76,OCCITANIE
5,2017,26,3,1531,0,3652,13,0,31,11,ILE-DE-FRANCE
6,2017,26,3,0,0,0,0,0,0,94,CORSE
7,2017,26,3,173,0,466,7,0,18,24,CENTRE-VAL-DE-LOIRE
8,2017,26,3,0,0,0,0,0,0,53,BRETAGNE
9,2017,26,3,0,0,0,0,0,0,27,BOURGOGNE-FRANCHE-COMTE
10,2017,26,3,523,0,1427,7,0,18,84,AUVERGNE-RHONE-ALPES
11,2017,26,3,727,0,1832,12,0,30,75,NOUVELLE-AQUITAINE
12,2017,26,3,387,0,1040,7,0,19,44,GRAND EST
13,2017,25,3,0,0,0,0,0,0,93,PROVENCE-ALPES-COTE-D-AZUR
14,2017,25,3,0,0,0,0,0,0,52,PAYS-DE-LA-LOIRE
15,2017,25,3,0,0,0,0,0,0,28,NORMANDIE
16,2017,25,3,0,0,0,0,0,0,32,HAUTS-DE-FRANCE
17,2017,25,3,304,0,812,5,0,14,76,OCCITANIE
18,2017,25,3,0,0,0,0,0,0,11,ILE-DE-FRANCE
19,2017,25,3,0,0,0,0,0,0,94,CORSE
20,2017,25,3,0,0,0,0,0,0,24,CENTRE-VAL-DE-LOIRE
21,2017,25,3,511,0,1696,15,0,50,53,BRETAGNE
22,2017,25,3,0,0,0,0,0,0,27,BOURGOGNE-FRANCHE-COMTE
23,2017,25,3,149,0,394,2,0,5,84,AUVERGNE-RHONE-ALPES
24,2017,25,3,0,0,0,0,0,0,75,NOUVELLE-AQUITAINE
25,2017,25,3,42,0,261,1,0,5,44,GRAND EST
26,2017,24,3,0,0,0,0,0,0,93,PROVENCE-ALPES-COTE-D-AZUR
27,2017,24,3,0,0,0,0,0,0,52,PAYS-DE-LA-LOIRE
28,2017,24,3,0,0,0,0,0,0,28,NORMANDIE
29,2017,24,3,0,0,0,0,0,0,32,HAUTS-DE-FRANCE
30,2017,24,3,99,0,386,2,0,7,76,OCCITANIE
31,2017,24,3,337,0,783,3,0,7,11,ILE-DE-FRANCE
32,2017,24,3,0,0,0,0,0,0,94,CORSE
33,2017,24,3,0,0,0,0,0,0,24,CENTRE-VAL-DE-LOIRE
34,2017,24,3,204,0,953,6,0,28,53,BRETAGNE
35,2017,24,3,0,0,0,0,0,0,27,BOURGOGNE-FRANCHE-COMTE
36,2017,24,3,345,0,811,4,0,10,84,AUVERGNE-RHONE-ALPES
37,2017,24,3,0,0,0,0,0,0,75,NOUVELLE-AQUITAINE
38,2017,24,3,0,0,0,0,0,0,44,GRAND EST
