,id,value,time
0,3,"@amjonno: @Anarey_NLP Hard to argue with 190 in first test as captain but Ali's batted well, fielded well and bowled superbly https://t.co/yVIRpb8Hi4",201707
1,4,@janekorvemaker: I got British: this amazing little test will reveal what country your manners are from https://t.co/9AOljZc19H via @MostTalkedAbou1,201707
2,5,"@rominaaa_123: RT @TrillxLove: Old situations be popping up just to test you, so don't slip up.",201707
3,6,@meow_julia_1d_: test text,201707
4,2,"@trishacebuche: good night, need mahabang sleep may test at recitation bukas, wala pa ako review",201707
5,3,"@amjonno: @Anarey_NLP Hard to argue with 190 in first test as captain but Ali's batted well, fielded well and bowled superbly https://t.co/yVIRpb8Hi4",201707
6,4,@janekorvemaker: I got British: this amazing little test will reveal what country your manners are from https://t.co/9AOljZc19H via @MostTalkedAbou1,201707
7,5,"@rominaaa_123: RT @TrillxLove: Old situations be popping up just to test you, so don't slip up.",201707
8,6,@meow_julia_1d_: test text,201707
9,115,"@Jothak: Nas lembranas de hoje no Facebook, umas delas foi do melhor evento que trabalhei, Fifa Fan Fest. Que saudades ",201707
10,116,@Sanson34000: RT @Commandochaiba: Croyez moi que Rudiger ( qui vient de signer  Chelsea ) sera le nouveau smalling sur FIFA 18,201707
11,117,"@LuiSequeira21: @EASPORTSFIFA please do something about this. Stabilise your gameplay, stop the disconnects. MAKE FIFA FUN AGAIN!",201707
12,118,@kabloemski: @SportswaveAndre @BellPottinger He's talking IOC - FIFA - UCI - and YOU @BellPottinger - you money whores! Selling https://t.co/weUmcC3eGn,201707
13,119,@LisaHar09021637: How are you? !  Look my pinned post! Go to my pinned post https://t.co/wRG6GjON2w,201707
14,135,@RossBuckley_: This team though. Most fun ive had on any FIFA https://t.co/M4fQhreLog,201707
15,136,@YingXun: Fifa 17 and Fifa Mobile Hack Unlimited Coins Points and Credits https://t.co/jiIlIxyqmr,201707
16,137,@ArafatSani9: I liked a @YouTube video https://t.co/5dnzgzITce (30-0) FIFA 17 FUT CHAMPIONS WEEKEND LEAGUE,201707
17,138,@Igorxavier77: RT @helder_crvg: porra qnd eu pegar meu ps4 eu s paro de jogar fifa c uns 3 titulos em tokio,201707
18,139,@chelseanepalfan: How India is in 96th position in FIFA ranking. This is a result of bribery #FIFA,
19,#FIFAU17WC #FIFA18 #fifamobile,201707,
20,143,@aeolios:        https://t.co/usF8vkFiWI,201707
21,144,@romandaisies: RT @_kaitlynd: the animals they test on were prettier https://t.co/Jwyy9o56jA,201707
22,145,@lilia_alex_09: RT @moonprism22: Esta semana en el sitio web hay un nuevo jueguito doramaniaco. Adivinas las escenas de estos dramas: ,201707
23,146,@ofurthemeowtain: RT @skinhub:  Shadow Daggers Tiger Tooth Giveaway,
24,,,
25,* RT &amp; Follow,,
26,* Test: https://t.co/mz5gpB3BiF,,
27,,,
28,Winner picked in 24 Hours! https://t.co,201707,
29,147,@AAPremlall: RT @AAPremlall: Try this test: Letting others be. Practice living in harmony by not saying anything negative about anyone else or yourself,201707
30,150,@Anniv_OR: #chasseautrsor sur le thme des #superhros!,
31,Occupez vos enfants pendant les vacances de faon originale et ludiqu https://t.co/uGRXzYtFFl,201707,
32,151,@gregps28: RT @manutopmusic: Petit port breton  #Bretagne #Morbihan #Vacances #breizh https://t.co/JkmBYDqr78,201707
33,152,@annastasia_hoff: RT @margauxcta: dans mes vacances y'a que du positif pour le moment,201707
34,153,@2Sofiia: hte de partir en vacances ,201707
35,154,@aneleyxs: RT @jmlespoulpes: Yen a qui ont mme pas la chance de partir en vacances dj https://t.co/4tAmOC1r3c,201707
